Home,Away,Season,Round,Day,Result,true_forecast#home,true_forecast#draw,true_forecast#away,true_rating#Home,true_rating#Away
8,0,0,0,1,home,0.25740688294898384,0.2776628780494056,0.46493023900161057,577.4334249093204,704.0151312252074
8,0,1,0,1,home,0.22459944549412547,0.26563650422344487,0.5097640502824297,590.2317435686541,746.7419380548658
8,0,2,0,1,away,0.1729323750337337,0.2368207975162202,0.5902468274500461,566.8736380978144,777.7046115617424
8,0,3,0,1,home,0.18213905553721932,0.2429486728115906,0.5749122716511901,559.858065156872,760.1783802983261
8,0,4,0,1,draw,0.1225683766668203,0.19427209933656553,0.6831595239966142,484.5370115927369,762.5920080998179
9,0,0,16,17,draw,0.08027967305567385,0.14440825303899085,0.7753120739053353,348.71759964011574,705.1431296411992
9,0,1,16,17,away,0.04618810575285326,0.09231912122855412,0.8614927730185926,292.45603444176874,747.0800615185215
9,0,2,16,17,away,0.033707046633127735,0.07008713880258421,0.896205814564288,271.8877673133519,781.1811236776962
9,0,3,16,17,away,0.050488164807462876,0.09956182321347995,0.8499500119790572,316.9367597884513,755.9716008327867
9,0,4,16,17,away,0.04464028906504325,0.08966101169517715,0.8656986992397796,299.0484582090757,759.6236476596257
10,0,0,2,3,draw,0.6133536786875784,0.22707637337386444,0.15956994793855717,830.3667123968169,703.4614863292377
10,0,1,2,3,home,0.6120743372487395,0.22763136788740332,0.16029429486385718,872.8402271227026,746.8335586546203
10,0,2,2,3,draw,0.5380174354902665,0.2564983790780142,0.20548418543171923,852.9240639189316,777.5300945192728
10,0,3,2,3,home,0.588114662443795,0.2376894201480262,0.1741959174081789,868.4589056625289,759.096084107305
10,0,4,2,3,draw,0.5558552262353089,0.2501653685925611,0.19397940517213003,849.8189385120294,762.426055252983
11,0,0,18,19,draw,0.36654893809090816,0.2911258331854131,0.34232522872367876,664.5183842648314,705.6935018995823
11,0,1,18,19,home,0.3296012890756932,0.2905077540737438,0.379890956850563,679.5785912353846,747.9100774457394
11,0,2,18,19,draw,0.29133409217645034,0.28581634721871196,0.4228495606048377,683.4718758404395,781.6241271271889
11,0,3,18,19,home,0.3429186757194461,0.29114395275977556,0.3659373715207783,696.4980185339992,754.8837635418563
11,0,4,18,19,away,0.33332026005707893,0.2907343504201737,0.37594538952274736,693.5865493068231,759.1208844534791
12,0,0,4,5,away,0.03250371690147136,0.06784489184125797,0.8996513912572707,188.29691135617705,703.8564337132495
12,0,1,4,5,away,0.027572806583810783,0.05846792580085369,0.9139592676153355,203.0150893101104,746.8426208074281
12,0,2,4,5,away,0.027113090187964706,0.057578000625113535,0.9153089091869218,230.28216588456587,776.9906997259573
12,0,3,4,5,away,0.03578579517423719,0.07391876346715531,0.8902954413586075,260.5000147649269,759.4604218112571
12,0,4,4,5,away,0.03220646420500417,0.06728824321843896,0.9005052925765569,245.5687391054914,762.710670930245
13,0,0,20,21,draw,0.07994220451208878,0.14394898466299444,0.7761088108249168,347.0698461705574,704.2586060481526
13,0,1,20,21,away,0.05219578242894374,0.10238101836095903,0.8454231992100972,314.9462336700585,748.1372776922235
13,0,2,20,21,away,0.040283451216818866,0.08203056548702148,0.8776859832961597,305.07512772776414,783.5246667850175
13,0,3,20,21,away,0.04570250514610985,0.09148812571101661,0.8628093691428735,299.9074568374169,756.3778482885289
13,0,4,20,21,away,0.04696679663238956,0.09364609000626911,0.8593871133613413,307.97833192022887,759.6798063391116
14,0,0,6,7,away,0.03145112229428915,0.06586881769864417,0.9026800600070667,183.35510516416736,704.5824854075947
14,0,1,6,7,away,0.02392585168029837,0.05133309124900398,0.9247410570706976,179.04404839805417,747.1405518211201
14,0,2,6,7,away,0.020354299055442726,0.044176909091466876,0.9354687918530904,182.22153776753382,777.871342980143
14,0,3,6,7,home,0.023727701022397407,0.050940479629169255,0.9253318193484333,189.4735384047978,758.9899312783937
14,0,4,6,7,away,0.019281340319939666,0.04199382179969757,0.9387248378803628,156.95433585410828,761.8123064676612
15,0,0,22,23,away,0.026921574174667007,0.057206461765257344,0.9158719640600756,156.16548509684324,704.088268750968
15,0,1,22,23,away,0.018007724613848586,0.03938227106939851,0.9426100043167529,131.2926361218095,747.756407965889
15,0,2,22,23,away,0.01733635345309692,0.03799673906901535,0.9446669074778877,160.90850391573727,783.8187103874279
15,0,3,22,23,away,0.027057949855221364,0.05747107727828249,0.9154709728664961,210.19741132977555,757.254688920922
15,0,4,22,23,away,0.01974260407457107,0.04293422812369774,0.9373231678017312,158.00054505168126,758.8399187359844
7,0,0,8,9,away,0.2987799339082048,0.28708218998602747,0.41413787610576774,611.3409394833388,703.5266851528562
7,0,1,8,9,away,0.26152245729694235,0.27887168278137037,0.4596058599216873,623.1986082538749,746.2103638518304
7,0,2,8,9,away,0.2980815778582957,0.28697102656899665,0.41494739557270766,686.0186064344317,778.7602713099482
7,0,3,8,9,away,0.3050243146859335,0.2880078860525856,0.4069677992614809,670.8002810837407,758.0478420973261
7,0,4,8,9,draw,0.31537916063833527,0.2892785137440546,0.3953423256176101,680.9014195523492,760.0830139339446
6,0,0,24,25,away,0.05348443286927285,0.10448739225438586,0.8420281748763413,275.9761032519425,704.8755666531641
6,0,1,24,25,away,0.04556786289112591,0.09125724087469955,0.8631748962341745,290.1233727658541,747.1090120817405
6,0,2,24,25,away,0.02614762753202937,0.05570020885957183,0.9181521636083988,231.72775222519903,784.6446293592534
6,0,3,24,25,away,0.029742033056256667,0.06263080692247935,0.907627160021264,226.9928659830249,757.8263129402989
6,0,4,24,25,away,0.026485016520684357,0.0563577829330566,0.917157200546259,208.31258544274036,759.034928321486
5,0,0,10,11,away,0.5174283363243497,0.26327017447696066,0.2193014891986896,765.7243998639983,704.1007999448773
5,0,1,10,11,draw,0.46661031536197395,0.2772713130922651,0.25611837154576095,773.9801659009123,746.2731335386308
5,0,2,10,11,draw,0.46448604400420046,0.27776559569338927,0.2577483603024103,804.7942444721535,778.5101508993775
5,0,3,10,11,away,0.5477100984605845,0.25310918631146784,0.19918071522794775,838.8206355961486,756.9168388903305
5,0,4,10,11,draw,0.5467198729725352,0.2534611661066021,0.19981896092086274,840.1311337448604,758.8934271282723
4,0,0,26,27,away,0.03775161555287421,0.07749400960652886,0.8847543748405969,215.56812149045217,705.2755118817747
4,0,1,26,27,away,0.02824368270437183,0.05976176814986789,0.9119945491457603,207.9036055706199,747.6094820968283
4,0,2,26,27,away,0.02598342083549776,0.05537963707380922,0.918636942090693,232.20573582372703,786.2006776188153
4,0,3,26,27,away,0.03754800067097008,0.07712585281652706,0.8853261465125029,267.5247094840939,758.168719775253
4,0,4,26,27,home,0.03629157050159837,0.07484307351205899,0.8888653559863426,263.00134891247706,759.5352310985991
3,0,0,12,13,home,0.06942473809455829,0.12909692817092988,0.8014783337345118,321.3418803553775,703.9351629245014
3,0,1,12,13,away,0.04761821607240435,0.09475091202189934,0.8576308719056963,298.1962346314435,747.4880028497045
3,0,2,12,13,home,0.03436715433496684,0.071309594518847,0.8943232511461862,273.0455862235291,778.9926516577461
3,0,3,12,13,away,0.04551531755072513,0.0911670799736839,0.863317602475591,300.2822103747299,757.4693231322765
3,0,4,12,13,away,0.04134144600265388,0.08390383801656576,0.8747547159807804,285.1272053036651,759.0721112621649
2,0,0,28,29,away,0.05200105256129661,0.10206114554290413,0.8459378018957993,271.86551417367093,705.7137528432899
2,0,1,28,29,away,0.046021365894414745,0.09203408588326945,0.8619445482223158,291.91368295810435,747.1696013685523
2,0,2,28,29,away,0.03816067539617418,0.0782321321415983,0.8836071924622275,298.1589035318768,785.999215030204
2,0,3,28,29,away,0.051664944646328315,0.10150806138133439,0.8468269939723373,323.05062972066804,758.0386922972596
2,0,4,28,29,draw,0.05982929898708911,0.11459848002110051,0.8255722209918104,349.9670560137037,759.0613835157454
1,0,0,14,15,away,0.040961587763132856,0.08323277783957661,0.8758056343972905,228.69102682825326,704.2404242987708
1,0,1,14,15,away,0.04008735088167115,0.0816819063198938,0.878230742798435,267.8311538849233,747.1280613230915
1,0,2,14,15,away,0.02766732056291099,0.0586505519535544,0.9136821274835346,236.45900433083472,779.7000135048432
